gene,casTLE,in_symmetric_graph,dist_to_core,nearest_core_gene,path_intermediates,path_full,weakest_edge_score,in_GRN,reactome_pig_tagged,direct_core_adjacency,hub_mediated_path,n_convergence_lines,convergence_grade,bucket,confirming_experiment,citation
WDFY1,0.8,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
WDR81,2.0,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
WDR91,1.5,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
ZBTB1,0.9,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
ZC3H4,1.5,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
ZNF428,1.8,True,,,,,,False,False,False,False,0,,knowledge-gap,"No canonical route under symmetric pull. Re-test phenotype (independent sgRNAs + melanin quantification), then screen for a physical partner de novo (BioID/proximity labeling) before wiring to the core.",Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463)
SLC24A4,0.7,True,1.0,MC1R,(direct),SLC24A4 -> MC1R,0.731,False,False,True,False,2,B,reconciled,Direct STRING edge to MC1R. Co-IP / proximity-labeling (BioID) of SLC24A4 vs MC1R; epistasis via double-KO (SLC24A4 x MC1R) + melanin readout in melanocytes.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
ACTR2,1.4,True,2.0,MC1R,CDKN2A,ACTR2 -> CDKN2A -> MC1R,0.766,False,False,False,False,1,C,reconciled,STRING path to MC1R via CDKN2A. Test predicted interaction ACTR2-CDKN2A (co-IP/BioID); epistasis double-KO (ACTR2 x MC1R) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
ACTR3,1.6,True,2.0,MYO5A,ACTB,ACTR3 -> ACTB -> MYO5A,0.811,False,False,False,True,1,C,reconciled,STRING path to MYO5A via ACTB. Test predicted interaction ACTR3-ACTB (co-IP/BioID); epistasis double-KO (ACTR3 x MYO5A) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
AMBRA1,2.4,True,2.0,KIT,BCL2,AMBRA1 -> BCL2 -> KIT,0.707,False,False,False,False,1,C,reconciled,STRING path to KIT via BCL2. Test predicted interaction AMBRA1-BCL2 (co-IP/BioID); epistasis double-KO (AMBRA1 x KIT) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
ARPC3,1.2,True,2.0,MYO5A,ACTB,ARPC3 -> ACTB -> MYO5A,0.811,False,False,False,True,1,C,reconciled,STRING path to MYO5A via ACTB. Test predicted interaction ARPC3-ACTB (co-IP/BioID); epistasis double-KO (ARPC3 x MYO5A) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
ARPC4,1.3,True,2.0,MYO5A,ACTB,ARPC4 -> ACTB -> MYO5A,0.811,False,False,False,True,1,C,reconciled,STRING path to MYO5A via ACTB. Test predicted interaction ARPC4-ACTB (co-IP/BioID); epistasis double-KO (ARPC4 x MYO5A) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
BLOC1S2,1.0,True,2.0,HERC2,BRCA1,BLOC1S2 -> BRCA1 -> HERC2,0.849,False,False,False,True,1,C,reconciled,STRING path to HERC2 via BRCA1. Test predicted interaction BLOC1S2-BRCA1 (co-IP/BioID); epistasis double-KO (BLOC1S2 x HERC2) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
C11ORF30,1.2,True,2.0,HERC2,BRCA1,EMSY -> BRCA1 -> HERC2,0.825,False,False,False,True,1,C,reconciled,STRING path to HERC2 via BRCA1. Test predicted interaction C11ORF30-BRCA1 (co-IP/BioID); epistasis double-KO (C11ORF30 x HERC2) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
CANX,0.9,True,2.0,KIT,HSP90AA1,CANX -> HSP90AA1 -> KIT,0.708,False,False,False,True,1,C,reconciled,STRING path to KIT via HSP90AA1. Test predicted interaction CANX-HSP90AA1 (co-IP/BioID); epistasis double-KO (CANX x KIT) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
CCNK,1.4,True,2.0,HERC2,TP53,CCNK -> TP53 -> HERC2,0.806,False,False,False,True,1,C,reconciled,STRING path to HERC2 via TP53. Test predicted interaction CCNK-TP53 (co-IP/BioID); epistasis double-KO (CCNK x HERC2) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
CDK12,0.8,True,2.0,HERC2,BRCA1,CDK12 -> BRCA1 -> HERC2,0.849,False,False,False,True,1,C,reconciled,STRING path to HERC2 via BRCA1. Test predicted interaction CDK12-BRCA1 (co-IP/BioID); epistasis double-KO (CDK12 x HERC2) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
CHD8,1.0,True,2.0,MITF,CTNNB1,CHD8 -> CTNNB1 -> MITF,0.813,False,False,False,False,1,C,reconciled,STRING path to MITF via CTNNB1. Test predicted interaction CHD8-CTNNB1 (co-IP/BioID); epistasis double-KO (CHD8 x MITF) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
COMMD3-BMI1,1.6,True,2.0,MC1R,CDKN2A,COMMD3-BMI1 -> CDKN2A -> MC1R,0.793,False,False,False,False,1,C,reconciled,STRING path to MC1R via CDKN2A. Test predicted interaction COMMD3-BMI1-CDKN2A (co-IP/BioID); epistasis double-KO (COMMD3-BMI1 x MC1R) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
CSK,1.0,True,2.0,POMC,STAT3,CSK -> STAT3 -> POMC,0.724,False,False,False,False,1,C,reconciled,STRING path to POMC via STAT3. Test predicted interaction CSK-STAT3 (co-IP/BioID); epistasis double-KO (CSK x POMC) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
CUL5,1.1,True,2.0,KIT,HSP90AA1,CUL5 -> HSP90AA1 -> KIT,0.708,False,False,False,True,1,C,reconciled,STRING path to KIT via HSP90AA1. Test predicted interaction CUL5-HSP90AA1 (co-IP/BioID); epistasis double-KO (CUL5 x KIT) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
DEK,1.8,True,2.0,KIT,TFAP2A,DEK -> TFAP2A -> KIT,0.802,False,False,False,False,1,C,reconciled,STRING path to KIT via TFAP2A. Test predicted interaction DEK-TFAP2A (co-IP/BioID); epistasis double-KO (DEK x KIT) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
DYRK1A,1.7,True,2.0,POMC,PRKACA,DYRK1A -> PRKACA -> POMC,0.706,False,False,False,False,1,C,reconciled,STRING path to POMC via PRKACA. Test predicted interaction DYRK1A-PRKACA (co-IP/BioID); epistasis double-KO (DYRK1A x POMC) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
GLTSCR1,1.0,True,2.0,SOX10,SMARCA4,BICRA -> SMARCA4 -> SOX10,0.937,False,False,False,False,1,C,reconciled,STRING path to SOX10 via SMARCA4. Test predicted interaction GLTSCR1-SMARCA4 (co-IP/BioID); epistasis double-KO (GLTSCR1 x SOX10) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
GPS2,1.3,True,2.0,MITF,EP300,GPS2 -> EP300 -> MITF,0.84,False,False,False,True,1,C,reconciled,STRING path to MITF via EP300. Test predicted interaction GPS2-EP300 (co-IP/BioID); epistasis double-KO (GPS2 x MITF) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
HDAC3,1.2,True,2.0,POMC,STAT3,HDAC3 -> STAT3 -> POMC,0.852,False,False,False,False,1,C,reconciled,STRING path to POMC via STAT3. Test predicted interaction HDAC3-STAT3 (co-IP/BioID); epistasis double-KO (HDAC3 x POMC) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
HDAC4,0.9,True,2.0,POMC,CALM3,HDAC4 -> CALM3 -> POMC,0.741,False,False,False,False,1,C,reconciled,STRING path to POMC via CALM3. Test predicted interaction HDAC4-CALM3 (co-IP/BioID); epistasis double-KO (HDAC4 x POMC) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
HNRNPA2B1,1.1,True,2.0,MC1R,RALY,HNRNPA2B1 -> RALY -> MC1R,0.726,False,False,False,False,1,C,reconciled,STRING path to MC1R via RALY. Test predicted interaction HNRNPA2B1-RALY (co-IP/BioID); epistasis double-KO (HNRNPA2B1 x MC1R) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
HNRNPR,1.7,True,2.0,MYO5A,ACTB,HNRNPR -> ACTB -> MYO5A,0.762,False,False,False,True,1,C,reconciled,STRING path to MYO5A via ACTB. Test predicted interaction HNRNPR-ACTB (co-IP/BioID); epistasis double-KO (HNRNPR x MYO5A) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
HSPA5,1.7,True,2.0,POMC,IL6,HSPA5 -> IL6 -> POMC,0.736,False,False,False,False,1,C,reconciled,STRING path to POMC via IL6. Test predicted interaction HSPA5-IL6 (co-IP/BioID); epistasis double-KO (HSPA5 x POMC) + melanin readout.,"Bajpai et al. 2023 Science 381:eade6289 (DOI 10.1126/science.ade6289; PMC10901463) | STRING v12.0 (Szklarczyk 2023, PMID 36370105); symmetric union pull score>=700, string_union_symmetric_pull_v12.json"
