gene,species,state,method,pct_identity,aln_len,ref_len,aln_ref_ratio,ratio_flag
AR,Hylobates_moloch,monochromatic,direct,,2787,822,3.391,HIGH
AR,Hylobates_klossii,monochromatic,miniprot,0.9683,2787,822,3.391,HIGH
AR,Symphalangus_syndactylus,monochromatic,direct,,2787,822,3.391,HIGH
AR,Nomascus_concolor,dichromatic,miniprot,0.9672,2787,822,3.391,HIGH
BNC2,Nomascus_leucogenys,dichromatic,direct,,3447,3564,0.967,
BNC2,Hylobates_muelleri,dichromatic,miniprot,0.958,3447,3564,0.967,
BNC2,Hylobates_agilis,monochromatic,miniprot,0.9978,3447,3564,0.967,
BNC2,Nomascus_gabriellae,dichromatic,miniprot,0.9967,3447,3564,0.967,
BNC2,Hylobates_moloch,monochromatic,direct,,3447,3564,0.967,
BNC2,Hylobates_klossii,monochromatic,miniprot,0.9978,3447,3564,0.967,
BNC2,Symphalangus_syndactylus,monochromatic,direct,,3447,3564,0.967,
BNC2,Nomascus_concolor,dichromatic,miniprot,0.9967,3447,3564,0.967,
CGA,Nomascus_leucogenys,dichromatic,direct,,576,483,1.193,
CGA,Hylobates_muelleri,dichromatic,miniprot,0.8509,576,483,1.193,
CGA,Hylobates_agilis,monochromatic,miniprot,0.8509,576,483,1.193,
CGA,Nomascus_gabriellae,dichromatic,miniprot,0.8571,576,483,1.193,
CGA,Hylobates_pileatus,dichromatic,miniprot,0.8447,576,483,1.193,
CGA,Hylobates_moloch,monochromatic,direct,,576,483,1.193,
CGA,Hylobates_klossii,monochromatic,miniprot,0.8509,576,483,1.193,
CGA,Symphalangus_syndactylus,monochromatic,direct,,576,483,1.193,
CGA,Nomascus_concolor,dichromatic,miniprot,0.8634,576,483,1.193,
CYP11A1,Hylobates_muelleri,dichromatic,miniprot,0.9895,1563,1563,1.0,
CYP11A1,Hylobates_agilis,monochromatic,miniprot,0.9917,1563,1563,1.0,
CYP11A1,Nomascus_gabriellae,dichromatic,miniprot,0.9917,1563,1563,1.0,
CYP11A1,Hylobates_pileatus,dichromatic,miniprot,0.9904,1563,1563,1.0,
CYP11A1,Hylobates_klossii,monochromatic,miniprot,0.9939,1563,1563,1.0,
CYP11A1,Symphalangus_syndactylus,monochromatic,direct,,1563,1563,1.0,
CYP11A1,Nomascus_concolor,dichromatic,miniprot,0.9917,1563,1563,1.0,
CYP11B1,Hylobates_muelleri,dichromatic,miniprot,0.9554,1512,1509,1.002,
CYP11B1,Hylobates_agilis,monochromatic,miniprot,0.9708,1512,1509,1.002,
CYP11B1,Nomascus_gabriellae,dichromatic,miniprot,0.9928,1512,1509,1.002,
CYP11B1,Hylobates_pileatus,dichromatic,miniprot,0.9662,1512,1509,1.002,
CYP11B1,Hylobates_klossii,monochromatic,miniprot,0.9789,1512,1509,1.002,
CYP11B1,Nomascus_concolor,dichromatic,miniprot,0.9592,1512,1509,1.002,
CYP11B2,Hylobates_muelleri,dichromatic,miniprot,0.9554,1512,1509,1.002,
CYP11B2,Hylobates_agilis,monochromatic,miniprot,0.9735,1512,1509,1.002,
CYP11B2,Nomascus_gabriellae,dichromatic,miniprot,0.9928,1512,1509,1.002,
CYP11B2,Hylobates_pileatus,dichromatic,miniprot,0.9781,1512,1509,1.002,
CYP11B2,Hylobates_klossii,monochromatic,miniprot,0.9873,1512,1509,1.002,
CYP11B2,Symphalangus_syndactylus,monochromatic,direct,,1512,1509,1.002,
CYP11B2,Nomascus_concolor,dichromatic,miniprot,0.951,1512,1509,1.002,
CYP19A1,Hylobates_muelleri,dichromatic,miniprot,0.9773,1509,1509,1.0,
CYP19A1,Hylobates_agilis,monochromatic,miniprot,0.9688,1509,1509,1.0,
CYP19A1,Nomascus_gabriellae,dichromatic,miniprot,0.9801,1509,1509,1.0,
CYP19A1,Hylobates_pileatus,dichromatic,miniprot,0.9742,1509,1509,1.0,
CYP19A1,Hylobates_klossii,monochromatic,miniprot,0.9688,1509,1509,1.0,
CYP19A1,Symphalangus_syndactylus,monochromatic,direct,,1509,1509,1.0,
CYP19A1,Nomascus_concolor,dichromatic,miniprot,0.9766,1509,1509,1.0,
CYP21A2,Hylobates_muelleri,dichromatic,miniprot,0.9778,1491,1524,0.978,
CYP21A2,Hylobates_agilis,monochromatic,miniprot,0.9758,1491,1524,0.978,
CYP21A2,Nomascus_gabriellae,dichromatic,miniprot,0.9758,1491,1524,0.978,
CYP21A2,Hylobates_pileatus,dichromatic,miniprot,0.9737,1491,1524,0.978,
CYP21A2,Hylobates_klossii,monochromatic,miniprot,0.9758,1491,1524,0.978,
CYP21A2,Symphalangus_syndactylus,monochromatic,direct,,1491,1524,0.978,
CYP21A2,Nomascus_concolor,dichromatic,miniprot,0.9758,1491,1524,0.978,
CYP7B1,Hylobates_muelleri,dichromatic,miniprot,0.9742,1698,1518,1.119,
CYP7B1,Hylobates_agilis,monochromatic,miniprot,0.9297,1698,1518,1.119,
CYP7B1,Nomascus_gabriellae,dichromatic,miniprot,0.9671,1698,1518,1.119,
CYP7B1,Hylobates_pileatus,dichromatic,miniprot,0.9684,1698,1518,1.119,
CYP7B1,Hylobates_klossii,monochromatic,miniprot,0.9764,1698,1518,1.119,
CYP7B1,Symphalangus_syndactylus,monochromatic,direct,,1698,1518,1.119,
CYP7B1,Nomascus_concolor,dichromatic,miniprot,0.9608,1698,1518,1.119,
DCT,Nomascus_leucogenys,dichromatic,direct,,1656,1656,1.0,
DCT,Hylobates_muelleri,dichromatic,miniprot,0.9626,1656,1656,1.0,
DCT,Hylobates_agilis,monochromatic,miniprot,0.9608,1656,1656,1.0,
DCT,Nomascus_gabriellae,dichromatic,miniprot,0.9521,1656,1656,1.0,
DCT,Hylobates_pileatus,dichromatic,miniprot,0.9638,1656,1656,1.0,
DCT,Hylobates_moloch,monochromatic,direct,,1656,1656,1.0,
DCT,Hylobates_klossii,monochromatic,miniprot,0.9578,1656,1656,1.0,
DCT,Symphalangus_syndactylus,monochromatic,direct,,1656,1656,1.0,
DCT,Nomascus_concolor,dichromatic,miniprot,0.9702,1656,1656,1.0,
EDN3,Nomascus_leucogenys,dichromatic,direct,,774,771,1.004,
EDN3,Hylobates_muelleri,dichromatic,miniprot,0.9209,774,771,1.004,
EDN3,Hylobates_agilis,monochromatic,miniprot,0.9482,774,771,1.004,
EDN3,Nomascus_gabriellae,dichromatic,miniprot,0.9443,774,771,1.004,
EDN3,Hylobates_pileatus,dichromatic,miniprot,0.9443,774,771,1.004,
EDN3,Hylobates_klossii,monochromatic,miniprot,0.9741,774,771,1.004,
EDN3,Symphalangus_syndactylus,monochromatic,direct,,774,771,1.004,
EDN3,Nomascus_concolor,dichromatic,miniprot,0.9349,774,771,1.004,
EDNRB,Nomascus_leucogenys,dichromatic,direct,,1596,1581,1.009,
EDNRB,Hylobates_muelleri,dichromatic,miniprot,0.9631,1596,1581,1.009,
EDNRB,Hylobates_agilis,monochromatic,miniprot,0.9672,1596,1581,1.009,
EDNRB,Nomascus_gabriellae,dichromatic,miniprot,0.9718,1596,1581,1.009,
EDNRB,Hylobates_pileatus,dichromatic,miniprot,0.9699,1596,1581,1.009,
EDNRB,Hylobates_moloch,monochromatic,direct,,1596,1581,1.009,
EDNRB,Hylobates_klossii,monochromatic,miniprot,0.9631,1596,1581,1.009,
EDNRB,Symphalangus_syndactylus,monochromatic,direct,,1596,1581,1.009,
EDNRB,Nomascus_concolor,dichromatic,miniprot,0.9718,1596,1581,1.009,
ESR1,Nomascus_leucogenys,dichromatic,direct,,1872,1785,1.049,
ESR1,Hylobates_muelleri,dichromatic,miniprot,0.8953,1872,1785,1.049,
ESR1,Hylobates_agilis,monochromatic,miniprot,0.8953,1872,1785,1.049,
ESR1,Nomascus_gabriellae,dichromatic,miniprot,0.987,1872,1785,1.049,
ESR1,Hylobates_pileatus,dichromatic,miniprot,0.9933,1872,1785,1.049,
ESR1,Hylobates_klossii,monochromatic,miniprot,0.8953,1872,1785,1.049,
ESR1,Symphalangus_syndactylus,monochromatic,direct,,1872,1785,1.049,
ESR1,Nomascus_concolor,dichromatic,miniprot,0.847,1872,1785,1.049,
ESR2,Nomascus_leucogenys,dichromatic,direct,,1590,1590,1.0,
ESR2,Hylobates_muelleri,dichromatic,miniprot,0.9796,1590,1590,1.0,
ESR2,Hylobates_agilis,monochromatic,miniprot,0.9728,1590,1590,1.0,
ESR2,Nomascus_gabriellae,dichromatic,miniprot,0.9701,1590,1590,1.0,
ESR2,Hylobates_pileatus,dichromatic,miniprot,0.9717,1590,1590,1.0,
ESR2,Hylobates_moloch,monochromatic,direct,,1590,1590,1.0,
ESR2,Hylobates_klossii,monochromatic,miniprot,0.9416,1590,1590,1.0,
ESR2,Symphalangus_syndactylus,monochromatic,direct,,1590,1590,1.0,
ESR2,Nomascus_concolor,dichromatic,miniprot,0.9585,1590,1590,1.0,
FKBP5,Nomascus_leucogenys,dichromatic,direct,,1389,1371,1.013,
FKBP5,Hylobates_muelleri,dichromatic,miniprot,0.9931,1389,1371,1.013,
FKBP5,Hylobates_agilis,monochromatic,miniprot,0.5778,1389,1371,1.013,
FKBP5,Nomascus_gabriellae,dichromatic,miniprot,0.9575,1389,1371,1.013,
FKBP5,Hylobates_pileatus,dichromatic,miniprot,0.9848,1389,1371,1.013,
FKBP5,Hylobates_moloch,monochromatic,direct,,1389,1371,1.013,
FKBP5,Hylobates_klossii,monochromatic,miniprot,0.5755,1389,1371,1.013,
FKBP5,Symphalangus_syndactylus,monochromatic,direct,,1389,1371,1.013,
FKBP5,Nomascus_concolor,dichromatic,miniprot,0.9712,1389,1371,1.013,
FOXD3,Nomascus_leucogenys,dichromatic,direct,,1437,1434,1.002,
FOXD3,Hylobates_muelleri,dichromatic,miniprot,0.9895,1437,1434,1.002,
FOXD3,Hylobates_agilis,monochromatic,miniprot,0.9896,1437,1434,1.002,
FOXD3,Nomascus_gabriellae,dichromatic,miniprot,0.9875,1437,1434,1.002,
FOXD3,Hylobates_pileatus,dichromatic,miniprot,0.9895,1437,1434,1.002,
FOXD3,Hylobates_moloch,monochromatic,direct,,1437,1434,1.002,
FOXD3,Hylobates_klossii,monochromatic,miniprot,0.9937,1437,1434,1.002,
FOXD3,Symphalangus_syndactylus,monochromatic,direct,,1437,1434,1.002,
FOXD3,Nomascus_concolor,dichromatic,miniprot,0.9875,1437,1434,1.002,
FSHB,Nomascus_leucogenys,dichromatic,direct,,387,387,1.0,
FSHB,Hylobates_muelleri,dichromatic,miniprot,0.9457,387,387,1.0,
FSHB,Hylobates_agilis,monochromatic,miniprot,0.9457,387,387,1.0,
FSHB,Nomascus_gabriellae,dichromatic,miniprot,0.938,387,387,1.0,
FSHB,Hylobates_pileatus,dichromatic,miniprot,0.9457,387,387,1.0,
FSHB,Hylobates_moloch,monochromatic,direct,,387,387,1.0,
FSHB,Hylobates_klossii,monochromatic,miniprot,0.9457,387,387,1.0,
FSHB,Symphalangus_syndactylus,monochromatic,direct,,387,387,1.0,
FSHB,Nomascus_concolor,dichromatic,miniprot,0.938,387,387,1.0,
FSHR,Nomascus_leucogenys,dichromatic,direct,,2103,2085,1.009,
FSHR,Hylobates_muelleri,dichromatic,miniprot,0.975,2103,2085,1.009,
FSHR,Hylobates_agilis,monochromatic,miniprot,0.9587,2103,2085,1.009,
FSHR,Nomascus_gabriellae,dichromatic,miniprot,0.9772,2103,2085,1.009,
FSHR,Hylobates_pileatus,dichromatic,miniprot,0.9712,2103,2085,1.009,
FSHR,Hylobates_moloch,monochromatic,direct,,2103,2085,1.009,
FSHR,Hylobates_klossii,monochromatic,miniprot,0.9769,2103,2085,1.009,
FSHR,Symphalangus_syndactylus,monochromatic,direct,,2103,2085,1.009,
FSHR,Nomascus_concolor,dichromatic,miniprot,0.9587,2103,2085,1.009,
GNA11,Nomascus_leucogenys,dichromatic,direct,,1077,1077,1.0,
GNA11,Nomascus_gabriellae,dichromatic,miniprot,0.9972,1077,1077,1.0,
GNA11,Hylobates_pileatus,dichromatic,miniprot,0.9025,1077,1077,1.0,
GNA11,Hylobates_moloch,monochromatic,direct,,1077,1077,1.0,
GNA11,Symphalangus_syndactylus,monochromatic,direct,,1077,1077,1.0,
GNA11,Nomascus_concolor,dichromatic,miniprot,0.9972,1077,1077,1.0,
GNAQ,Nomascus_leucogenys,dichromatic,direct,,1077,1077,1.0,
GNAQ,Nomascus_gabriellae,dichromatic,miniprot,0.9025,1077,1077,1.0,
GNAQ,Hylobates_pileatus,dichromatic,miniprot,1.0,1077,1077,1.0,
GNAQ,Hylobates_moloch,monochromatic,direct,,1077,1077,1.0,
GNAQ,Symphalangus_syndactylus,monochromatic,direct,,1077,1077,1.0,
GNAQ,Nomascus_concolor,dichromatic,miniprot,0.9025,1077,1077,1.0,
GNRH1,Nomascus_leucogenys,dichromatic,direct,,288,315,0.914,
GNRH1,Hylobates_muelleri,dichromatic,miniprot,0.9583,288,315,0.914,
GNRH1,Hylobates_agilis,monochromatic,miniprot,0.9583,288,315,0.914,
GNRH1,Nomascus_gabriellae,dichromatic,miniprot,0.9583,288,315,0.914,
GNRH1,Hylobates_pileatus,dichromatic,miniprot,0.9583,288,315,0.914,
GNRH1,Hylobates_moloch,monochromatic,direct,,288,315,0.914,
GNRH1,Hylobates_klossii,monochromatic,miniprot,0.9583,288,315,0.914,
GNRH1,Symphalangus_syndactylus,monochromatic,direct,,288,315,0.914,
GNRH1,Nomascus_concolor,dichromatic,miniprot,0.9583,288,315,0.914,
GNRH2,Hylobates_muelleri,dichromatic,miniprot,0.8559,363,354,1.025,
GNRH2,Hylobates_agilis,monochromatic,miniprot,0.8559,363,354,1.025,
GNRH2,Nomascus_gabriellae,dichromatic,miniprot,0.8448,363,354,1.025,
GNRH2,Hylobates_pileatus,dichromatic,miniprot,0.8305,363,354,1.025,
GNRH2,Hylobates_klossii,monochromatic,miniprot,0.8559,363,354,1.025,
GNRH2,Nomascus_concolor,dichromatic,miniprot,0.8362,363,354,1.025,
GNRHR,Nomascus_leucogenys,dichromatic,direct,,984,984,1.0,
GNRHR,Hylobates_muelleri,dichromatic,miniprot,0.9555,984,984,1.0,
GNRHR,Hylobates_agilis,monochromatic,miniprot,0.9514,984,984,1.0,
GNRHR,Nomascus_gabriellae,dichromatic,miniprot,0.9514,984,984,1.0,
GNRHR,Hylobates_pileatus,dichromatic,miniprot,0.9512,984,984,1.0,
GNRHR,Hylobates_moloch,monochromatic,direct,,984,984,1.0,
GNRHR,Hylobates_klossii,monochromatic,miniprot,0.9514,984,984,1.0,
GNRHR,Symphalangus_syndactylus,monochromatic,direct,,984,984,1.0,
GNRHR,Nomascus_concolor,dichromatic,miniprot,0.9514,984,984,1.0,
GPER1,Nomascus_leucogenys,dichromatic,direct,,1125,1125,1.0,
GPER1,Hylobates_muelleri,dichromatic,miniprot,1.0,1125,1125,1.0,
GPER1,Hylobates_agilis,monochromatic,miniprot,1.0,1125,1125,1.0,
GPER1,Nomascus_gabriellae,dichromatic,miniprot,0.9973,1125,1125,1.0,
GPER1,Hylobates_pileatus,dichromatic,miniprot,1.0,1125,1125,1.0,
GPER1,Hylobates_moloch,monochromatic,direct,,1125,1125,1.0,
GPER1,Hylobates_klossii,monochromatic,miniprot,1.0,1125,1125,1.0,
GPER1,Symphalangus_syndactylus,monochromatic,direct,,1125,1125,1.0,
GPER1,Nomascus_concolor,dichromatic,miniprot,0.9973,1125,1125,1.0,
HERC2,Nomascus_leucogenys,dichromatic,direct,,14589,14502,1.006,
HERC2,Hylobates_muelleri,dichromatic,miniprot,0.9884,14589,14502,1.006,
HERC2,Hylobates_agilis,monochromatic,miniprot,0.9726,14589,14502,1.006,
HERC2,Nomascus_gabriellae,dichromatic,miniprot,0.9895,14589,14502,1.006,
HERC2,Hylobates_moloch,monochromatic,direct,,14589,14502,1.006,
HERC2,Hylobates_klossii,monochromatic,miniprot,0.9899,14589,14502,1.006,
HERC2,Symphalangus_syndactylus,monochromatic,direct,,14589,14502,1.006,
HERC2,Nomascus_concolor,dichromatic,miniprot,0.9939,14589,14502,1.006,
HSD17B11,Nomascus_leucogenys,dichromatic,direct,,900,903,0.997,
HSD17B11,Hylobates_muelleri,dichromatic,miniprot,0.6568,900,903,0.997,
HSD17B11,Hylobates_agilis,monochromatic,miniprot,0.684,900,903,0.997,
HSD17B11,Nomascus_gabriellae,dichromatic,miniprot,0.9838,900,903,0.997,
HSD17B11,Hylobates_pileatus,dichromatic,miniprot,0.9767,900,903,0.997,
HSD17B11,Hylobates_moloch,monochromatic,direct,,900,903,0.997,
HSD17B11,Hylobates_klossii,monochromatic,miniprot,0.9784,900,903,0.997,
HSD17B11,Symphalangus_syndactylus,monochromatic,direct,,900,903,0.997,
HSD17B11,Nomascus_concolor,dichromatic,miniprot,0.6531,900,903,0.997,
HSD17B12,Nomascus_leucogenys,dichromatic,direct,,936,936,1.0,
HSD17B12,Hylobates_pileatus,dichromatic,miniprot,0.9712,936,936,1.0,
HSD17B12,Hylobates_moloch,monochromatic,direct,,936,936,1.0,
HSD17B12,Symphalangus_syndactylus,monochromatic,direct,,936,936,1.0,
HSD17B2,Nomascus_leucogenys,dichromatic,direct,,1161,1161,1.0,
HSD17B2,Hylobates_muelleri,dichromatic,miniprot,0.9211,1161,1161,1.0,
HSD17B2,Hylobates_agilis,monochromatic,miniprot,0.9611,1161,1161,1.0,
HSD17B2,Nomascus_gabriellae,dichromatic,miniprot,0.9128,1161,1161,1.0,
HSD17B2,Hylobates_pileatus,dichromatic,miniprot,0.9199,1161,1161,1.0,
HSD17B2,Hylobates_moloch,monochromatic,direct,,1161,1161,1.0,
HSD17B2,Hylobates_klossii,monochromatic,miniprot,0.9298,1161,1161,1.0,
HSD17B2,Symphalangus_syndactylus,monochromatic,direct,,1161,1161,1.0,
HSD17B2,Nomascus_concolor,dichromatic,miniprot,0.9701,1161,1161,1.0,
HSD17B3,Nomascus_leucogenys,dichromatic,direct,,930,930,1.0,
HSD17B3,Hylobates_muelleri,dichromatic,miniprot,0.9754,930,930,1.0,
HSD17B3,Hylobates_agilis,monochromatic,miniprot,0.9613,930,930,1.0,
HSD17B3,Nomascus_gabriellae,dichromatic,miniprot,0.9748,930,930,1.0,
HSD17B3,Hylobates_pileatus,dichromatic,miniprot,0.9742,930,930,1.0,
HSD17B3,Hylobates_moloch,monochromatic,direct,,930,930,1.0,
HSD17B3,Hylobates_klossii,monochromatic,miniprot,0.9754,930,930,1.0,
HSD17B3,Symphalangus_syndactylus,monochromatic,direct,,930,930,1.0,
HSD17B3,Nomascus_concolor,dichromatic,miniprot,0.9796,930,930,1.0,
HSD17B6,Hylobates_muelleri,dichromatic,miniprot,0.6656,951,975,0.975,
HSD17B6,Hylobates_agilis,monochromatic,miniprot,0.9558,951,975,0.975,
HSD17B6,Nomascus_gabriellae,dichromatic,miniprot,0.6656,951,975,0.975,
HSD17B6,Hylobates_pileatus,dichromatic,miniprot,0.9558,951,975,0.975,
HSD17B6,Hylobates_klossii,monochromatic,miniprot,0.6656,951,975,0.975,
HSD17B6,Nomascus_concolor,dichromatic,miniprot,0.6656,951,975,0.975,
HSD17B7,Nomascus_leucogenys,dichromatic,direct,,1023,1023,1.0,
HSD17B7,Hylobates_muelleri,dichromatic,miniprot,0.9272,1023,1023,1.0,
HSD17B7,Hylobates_agilis,monochromatic,miniprot,0.9272,1023,1023,1.0,
HSD17B7,Nomascus_gabriellae,dichromatic,miniprot,0.932,1023,1023,1.0,
HSD17B7,Hylobates_pileatus,dichromatic,miniprot,0.9765,1023,1023,1.0,
HSD17B7,Hylobates_moloch,monochromatic,direct,,1023,1023,1.0,
HSD17B7,Hylobates_klossii,monochromatic,miniprot,0.9671,1023,1023,1.0,
HSD17B7,Symphalangus_syndactylus,monochromatic,direct,,1023,1023,1.0,
HSD17B7,Nomascus_concolor,dichromatic,miniprot,0.932,1023,1023,1.0,
HSD17B8,Nomascus_leucogenys,dichromatic,direct,,819,783,1.046,
HSD17B8,Hylobates_muelleri,dichromatic,miniprot,0.9728,819,783,1.046,
HSD17B8,Hylobates_agilis,monochromatic,miniprot,0.9728,819,783,1.046,
HSD17B8,Nomascus_gabriellae,dichromatic,miniprot,0.9728,819,783,1.046,
HSD17B8,Hylobates_pileatus,dichromatic,miniprot,0.9728,819,783,1.046,
HSD17B8,Hylobates_moloch,monochromatic,direct,,819,783,1.046,
HSD17B8,Hylobates_klossii,monochromatic,miniprot,0.9728,819,783,1.046,
HSD17B8,Symphalangus_syndactylus,monochromatic,direct,,819,783,1.046,
HSD17B8,Nomascus_concolor,dichromatic,miniprot,0.9728,819,783,1.046,
HSD3B1,Hylobates_muelleri,dichromatic,miniprot,0.9625,1119,1119,1.0,
HSD3B1,Hylobates_agilis,monochromatic,miniprot,0.9732,1119,1119,1.0,
HSD3B1,Hylobates_pileatus,dichromatic,miniprot,0.9732,1119,1119,1.0,
HSD3B1,Hylobates_klossii,monochromatic,miniprot,0.9732,1119,1119,1.0,
HSD3B1,Symphalangus_syndactylus,monochromatic,direct,,1119,1119,1.0,
HSD3B1,Nomascus_concolor,dichromatic,miniprot,0.9632,1119,1119,1.0,
IRF4,Nomascus_leucogenys,dichromatic,direct,,1353,1353,1.0,
IRF4,Hylobates_muelleri,dichromatic,miniprot,0.978,1353,1353,1.0,
IRF4,Hylobates_agilis,monochromatic,miniprot,0.978,1353,1353,1.0,
IRF4,Nomascus_gabriellae,dichromatic,miniprot,0.9809,1353,1353,1.0,
IRF4,Hylobates_pileatus,dichromatic,miniprot,0.9823,1353,1353,1.0,
IRF4,Hylobates_moloch,monochromatic,direct,,1353,1353,1.0,
IRF4,Hylobates_klossii,monochromatic,miniprot,0.9823,1353,1353,1.0,
IRF4,Symphalangus_syndactylus,monochromatic,direct,,1353,1353,1.0,
IRF4,Nomascus_concolor,dichromatic,miniprot,0.9823,1353,1353,1.0,
KISS1,Nomascus_leucogenys,dichromatic,direct,,414,438,0.945,
KISS1,Hylobates_muelleri,dichromatic,miniprot,0.9783,414,438,0.945,
KISS1,Hylobates_agilis,monochromatic,miniprot,0.9783,414,438,0.945,
KISS1,Nomascus_gabriellae,dichromatic,miniprot,0.971,414,438,0.945,
KISS1,Hylobates_pileatus,dichromatic,miniprot,0.9783,414,438,0.945,
KISS1,Hylobates_moloch,monochromatic,direct,,414,438,0.945,
KISS1,Hylobates_klossii,monochromatic,miniprot,0.9783,414,438,0.945,
KISS1,Symphalangus_syndactylus,monochromatic,direct,,414,438,0.945,
KISS1,Nomascus_concolor,dichromatic,miniprot,0.9638,414,438,0.945,
KISS1R,Nomascus_leucogenys,dichromatic,direct,,1203,1194,1.008,
KISS1R,Hylobates_muelleri,dichromatic,miniprot,0.9724,1203,1194,1.008,
KISS1R,Hylobates_agilis,monochromatic,miniprot,0.9673,1203,1194,1.008,
KISS1R,Nomascus_gabriellae,dichromatic,miniprot,0.9548,1203,1194,1.008,
KISS1R,Hylobates_pileatus,dichromatic,miniprot,0.9724,1203,1194,1.008,
KISS1R,Hylobates_moloch,monochromatic,direct,,1203,1194,1.008,
KISS1R,Hylobates_klossii,monochromatic,miniprot,0.9576,1203,1194,1.008,
KISS1R,Symphalangus_syndactylus,monochromatic,direct,,1203,1194,1.008,
KISS1R,Nomascus_concolor,dichromatic,miniprot,0.9548,1203,1194,1.008,
KIT,Nomascus_leucogenys,dichromatic,direct,,2931,3009,0.974,
KIT,Hylobates_agilis,monochromatic,miniprot,0.9887,2931,3009,0.974,
KIT,Nomascus_gabriellae,dichromatic,miniprot,0.9887,2931,3009,0.974,
KIT,Hylobates_pileatus,dichromatic,miniprot,0.9867,2931,3009,0.974,
KIT,Hylobates_moloch,monochromatic,direct,,2931,3009,0.974,
KIT,Symphalangus_syndactylus,monochromatic,direct,,2931,3009,0.974,
KITLG,Nomascus_leucogenys,dichromatic,direct,,849,849,1.0,
KITLG,Hylobates_muelleri,dichromatic,miniprot,1.0,849,849,1.0,
KITLG,Hylobates_agilis,monochromatic,miniprot,0.9957,849,849,1.0,
KITLG,Nomascus_gabriellae,dichromatic,miniprot,0.9833,849,849,1.0,
KITLG,Hylobates_pileatus,dichromatic,miniprot,0.9856,849,849,1.0,
KITLG,Hylobates_moloch,monochromatic,direct,,849,849,1.0,
KITLG,Hylobates_klossii,monochromatic,miniprot,1.0,849,849,1.0,
KITLG,Symphalangus_syndactylus,monochromatic,direct,,849,849,1.0,
KITLG,Nomascus_concolor,dichromatic,miniprot,1.0,849,849,1.0,
LDLR,Nomascus_leucogenys,dichromatic,direct,,2982,2754,1.083,
LDLR,Hylobates_muelleri,dichromatic,miniprot,0.9868,2982,2754,1.083,
