family,tool,first_author,year,title,source,doi,pmid,software,relevance,verified
4_expression_evolution,AnceTran,Yang,2018,Ancestral transcriptome inference based on RNA-Seq and ChIP-seq data,Methods,10.1016/j.ymeth.2018.11.010,30472248,https://github.com/jingwyang/AnceTran,ancestral_regulatory_states,yes
4_expression_evolution,,Housworth,2004,The Phylogenetic Mixed Model,American Naturalist,10.1086/380570,14767838,,statistical_foundation,yes
4_expression_evolution,,Freckleton,2002,Phylogenetic Analysis and Comparative Data: A Test and Review of Evidence,American Naturalist,10.1086/343873,18707460,caper R package,pagels_lambda,yes
4_expression_evolution,phytools,Revell,2024,phytools 2.0: an updated R ecosystem for phylogenetic comparative methods,PeerJ,10.7717/peerj.16505,38192598,https://github.com/liamrevell/phytools,practical_toolkit,yes
5_rate_convergence,RERconverge,Kowalczyk,2019,RERconverge: an R package for associating evolutionary rates with convergent traits,Bioinformatics,10.1093/bioinformatics/btz468,31192356,https://github.com/nclark-lab/RERconverge,ALREADY_RUN_in_repo,yes
5_rate_convergence,TRACCER,Treaster,2021,Refining Convergent Rate Analysis with Topology in Mammalian Longevity and Marine Transitions,Molecular Biology and Evolution,10.1093/molbev/msab226,34324001,https://github.com/harris-fishlab/TRACCER,TRACK_C_cheap_upgrade,yes
5_rate_convergence,PhyloAcc,Hu,2019,Bayesian Detection of Convergent Rate Changes of Conserved Noncoding Elements on Phylogenetic Trees,Molecular Biology and Evolution,10.1093/molbev/msz049,30851112,https://github.com/phyloacc/PhyloAcc,TRACK_C_regulatory_elements,yes
5_rate_convergence,PhyloAcc-C,Gemmell,2024,A phylogenetic method linking nucleotide substitution rates to rates of continuous trait evolution,PLoS Computational Biology,10.1371/journal.pcbi.1011995,38656999,,TRACK_C_continuous_trait,yes_title_corrected
5_rate_convergence,aBSREL,Smith,2015,Less is more: an adaptive branch-site random effects model for efficient detection of episodic diversifying selection,Molecular Biology and Evolution,10.1093/molbev/msv022,25697341,HyPhy,ALREADY_RUN_in_repo,yes
5_rate_convergence,RELAX,Wertheim,2015,RELAX: Detecting Relaxed Selection in a Phylogenetic Framework,Molecular Biology and Evolution,10.1093/molbev/msu400,25540451,HyPhy,ALREADY_RUN_in_repo,yes
5_rate_convergence,phyloP,Pollard,2009,Detection of nonneutral substitution rates on mammalian phylogenies,Genome Research,10.1101/gr.097857.109,19858363,PHAST,data_already_in_repo,yes
5_rate_convergence,ForwardGenomics,Hiller,2012,A forward genomics approach links genotype to phenotype using independent phenotypic losses among related species,Cell Reports,10.1016/j.celrep.2012.08.032,23022484,https://github.com/hillerlab/ForwardGenomics,TRACK_C_loss_asymmetry,yes
6_network_position,,Fraser,2002,Evolutionary Rate in the Protein Interaction Network,Science,10.1126/science.1068696,11976460,,TRACK_B_replicate,yes
6_network_position,,Hahn,2005,Comparative Genomics of Centrality and Essentiality in Three Eukaryotic Protein-Interaction Networks,Molecular Biology and Evolution,10.1093/molbev/msi072,15616139,,TRACK_B_replicate_year_corrected,yes_year_corrected
6_network_position,,Stern,2009,Is genetic evolution predictable?,Science,10.1126/science.1158997,19197055,,CONCEPTUAL_ANCHOR,yes
6_network_position,,Kittelmann,2018,Gene regulatory network architecture in different developmental contexts influences the genetic basis of morphological evolution,PLoS Genetics,10.1371/journal.pgen.1007375,29723190,,closest_existing_statement_of_thesis,yes
6_network_position,,Vande Zande,2022,Network Topology Can Explain Differences in Pleiotropy Between Cis- and Trans-regulatory Mutations,Molecular Biology and Evolution,10.1093/molbev/msac266,36508350,,mechanistic_backing,yes
6_network_position,,Petit,2023,Correlated stabilizing selection shapes the topology of gene regulatory networks,Genetics,10.1093/genetics/iyad065,37070537,,SIGNED_NETWORK_null_model,yes
6_network_position,,Koch,2025,Gene expression evolution is predicted by stronger indirect selection at more pleiotropic genes,Evolution Letters,10.1093/evlett/qraf039,41357149,,recent_counterpoint,yes
7_module_selection,SUMSTAT,Daub,2013,Evidence for polygenic adaptation to pathogens in the human genome,Molecular Biology and Evolution,10.1093/molbev/mst080,23625889,,TRACK_A4_sanity_check,yes
7_module_selection,signet,Gouy,2017,Detecting gene subnetworks under selection in biological pathways,Nucleic Acids Research,10.1093/nar/gkx626,28934485,signet R package,TRACK_A1_TOP_PICK,yes
7_module_selection,HierarchicalHotNet,Reyna,2018,Hierarchical HotNet: identifying hierarchies of altered subnetworks,Bioinformatics,10.1093/bioinformatics/bty613,30423088,https://github.com/raphael-group/hierarchical-hotnet,TRACK_A3_TOP_PICK,yes
7_module_selection,HotNet2,Leiserson,2015,Pan-cancer network analysis identifies combinations of rare somatic mutations across pathways and protein complexes,Nature Genetics,10.1038/ng.3168,25501392,https://github.com/raphael-group/hotnet2,predecessor,yes
7_module_selection,HotNet,Vandin,2011,Algorithms for Detecting Significantly Mutated Pathways in Cancer,Journal of Computational Biology,10.1089/cmb.2010.0265,21385051,,original,yes
7_module_selection,dmGWAS,Jia,2011,dmGWAS: dense module searching for genome-wide association studies in protein-protein interaction networks,Bioinformatics,10.1093/bioinformatics/btq615,21045073,,fast_crude_alternative,yes
7_module_selection,SConES,Azencott,2013,Efficient network-guided multi-locus association mapping with graph cuts,Bioinformatics,10.1093/bioinformatics/btt238,23812981,https://github.com/BorgwardtLab/scones,exact_graphcut_alternative,yes
7_module_selection,,Visona,2024,Network propagation for GWAS analysis: a practical guide to leveraging molecular networks for disease gene discovery,Briefings in Bioinformatics,10.1093/bib/bbae014,38340090,,READ_BEFORE_RUNNING_A3,yes
7_module_selection,PicMin,Booker,2023,Using genome scans to identify genes used repeatedly for adaptation,Evolution,10.1093/evolut/qpac063,36626817,https://github.com/TBooker/PicMin,TRACK_A2_TOP_PICK_15_origins,yes
7_module_selection,,Conte,2012,The probability of genetic parallelism and convergence in natural populations,Proceedings of the Royal Society B,10.1098/rspb.2012.2146,23075840,,CALIBRATION_run_this_arithmetic_first,yes
7_module_selection,Qx,Berg,2014,A population genetic signal of polygenic adaptation,PLoS Genetics,10.1371/journal.pgen.1004412,25102153,,adjacent_framework,yes
8_building_networks,MRTLE,Koch,2017,Inference and Evolutionary Analysis of Genome-Scale Regulatory Networks in Large Phylogenies,Cell Systems,10.1016/j.cels.2017.04.010,28544882,,ONLY_TOOL_tree_plus_networks_to_evo_statement,yes
8_building_networks,SCENIC,Aibar,2017,SCENIC: single-cell regulatory network inference and clustering,Nature Methods,10.1038/nmeth.4463,28991892,https://github.com/aertslab/pySCENIC,TRACK_D,yes
8_building_networks,pySCENIC,Van de Sande,2020,A scalable SCENIC workflow for single-cell gene regulatory network analysis,Nature Protocols,10.1038/s41596-020-0336-2,32561888,https://github.com/aertslab/pySCENIC,TRACK_D,yes
8_building_networks,SCENIC+,Bravo Gonzalez-Blas,2023,SCENIC+: single-cell multiomic inference of enhancers and gene regulatory networks,Nature Methods,10.1038/s41592-023-01938-4,37443338,https://scenicplus.readthedocs.io,TRACK_D_cross_species_benchmarked,yes
8_building_networks,GENIE3,Huynh-Thu,2010,Inferring regulatory networks from expression data using tree-based methods,PLoS ONE,10.1371/journal.pone.0012776,20927193,Bioconductor GENIE3,inference_engine,yes
8_building_networks,GRNBoost2,Moerman,2019,GRNBoost2 and Arboreto: efficient and scalable inference of gene regulatory networks,Bioinformatics,10.1093/bioinformatics/bty916,30445495,https://arboreto.readthedocs.io,inference_engine,yes
8_building_networks,CellOracle,Kamimoto,2023,Dissecting cell identity via network inference and in silico gene perturbation,Nature,10.1038/s41586-022-05688-9,36755098,https://github.com/morris-lab/CellOracle,TRACK_D,yes
8_building_networks,Dictys,Wang,2023,Dictys: dynamic gene regulatory network dissects developmental continuum with single-cell multiomics,Nature Methods,10.1038/s41592-023-01971-3,37537351,https://github.com/pinellolab/dictys,TRACK_D,yes
8_building_networks,ANANSE,Xu,2021,ANANSE: an enhancer network-based computational approach for predicting key transcription factors in cell fate determination,Nucleic Acids Research,10.1093/nar/gkab598,34244796,https://github.com/vanheeringen-lab/ANANSE,differential_network_score,yes
8_building_networks,SAMap,Tarashansky,2021,Mapping single-cell atlases throughout Metazoa unravels cell type evolution,eLife,10.7554/eLife.66747,33944782,https://github.com/atarashansky/SAMap,TRACK_D_cell_type_homology,yes
8_building_networks,,Song,2023,Benchmarking strategies for cross-species integration of single-cell RNA sequencing data,Nature Communications,10.1038/s41467-023-41855-w,37838716,,TRACK_D_benchmark,yes
8_building_networks,,Zemke,2023,Conserved and divergent gene regulatory programs of the mammalian neocortex,Nature,10.1038/s41586-023-06819-6,38092918,,best_primate_cross_species_regulatory_data,yes
8_building_networks,,Jorstad,2023,Comparative transcriptomics reveals human-specific cortical features,Science,10.1126/science.ade9516,37824638,,primate_comparative_data,yes
8_building_networks,,Christmas,2023,Evolutionary constraint and innovation across hundreds of placental mammals,Science,10.1126/science.abn3943,37104599,https://zoonomiaproject.org,Zoonomia_constraint_resource,yes
9_pigmentation,,Badyaev,2015,Tradeoff between robustness and elaboration in carotenoid networks produces cycles of avian color diversification,Biology Direct,10.1186/s13062-015-0073-6,26289047,,STRUCTURAL_ANALOG_read_first,yes
9_pigmentation,,Irizarry,2016,Analysis of Gene Expression Network Components Underlying Pigmentation Phenotypes in the Python Identified Evolutionarily Conserved Clusters of Transcription Factor Binding Sites,Advances in Bioinformatics,10.1155/2016/1286510,27698666,,only_direct_melanogenesis_cross_species_attempt,yes
