gene_a,gene_b,source,target,merged_sign,sign_conflict,direction_conflict,supporting_layers,n_supporting_layers,layer_evidence_type,tier,citation
FAS,FASLG,FASLG,FAS,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,PMID:9425165;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,RAF1,HRAS,RAF1,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:11348449;PMID:11348449;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
KIT,PIK3CA,KIT,PIK3CA,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,PMID:16410786;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
KIT,KITLG,KITLG,KIT,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:22637532;NetProTM (Molecular Connections curated interaction DB);PMID:22637532;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
MAP2K1,MAPK1,MAP2K1,MAPK1,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:11359940;PMID:11359940;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
JUN,MAPK1,MAPK1,JUN,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,PMID:11348449;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
MAPK1,TP53,MAPK1,TP53,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,PMID:10781582;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
DCT,MITF,MITF,DCT,+,False,False,GRN|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,"PMID:19026785;PMID:10770922,11310793,11543611,12032083,12753399,14706856,15250937,15729346,15892717,16029420,16197942,16411896,16493586,16857183,17237008,17702866,19067970,19067971,19192212,19699574,19765058,1999537,19995375,21519923,21995379,22371403,22847819,22898827,23063590,23178856,23729736,23935660,24016750,24078219,24192058,27374284,28390782,28431046,28842328,30322121,30408247,30579288,30603437,31208857,31354817,33823181,33896085,34641584,35163281,35290062,35461746,36978940,37138409,37734767,8995290,9199364;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)"
MITF,MLANA,MITF,MLANA,+,False,False,GRN|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,"PMID:15117970;PMID:12819038,14744763,19067971,19699574,1999537,20099279,20482673,24733089,26599548,27515936,31354817,33181138,37628992;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)"
MITF,PMEL,MITF,PMEL,+,False,False,GRN|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,"PMID:18039926;PMID:11076759,12819038,14643677,15357840,16964280,19067971,19699574,1999537,20099279,24769727,26070258,27515936,27774936,31354817,37628992,37734767;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)"
MITF,PIAS3,,,-,False,True,GRN|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,"NetProTM (Molecular Connections curated interaction DB);PMID:16368885,19201870,21519923;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)"
MAP2K1,RAF1,RAF1,MAP2K1,+,False,False,DArcy_STRING|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:11348449;PMID:11348449;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
DCT,SOX10,SOX10,DCT,+,False,False,GRN|OmniPath_validation|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,"PMID:14706856;PMID:11543611,12036907,14706856,15250937,16029420,16857183,17702866,1999537,21519923,28431046;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)"
PAX3,SOX10,,,+,False,True,DArcy_STRING|GRN|Raghunath|STRING_ours,4,Raghunath:mechanistic_signed_directed;GRN:regulon_signed_directed_transcriptional;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,"PMID:10942418;PMID:11032856,24760871;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651"
AKT1,BAD,AKT1,BAD,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:16888633; PMID:16932738;PMID:16932738;PMID:16888633;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
AKT1,CREB1,AKT1,CREB1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:10761990;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
AKT1,CTNNB1,AKT1,CTNNB1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:21802267;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
AKT1,FOS,AKT1,FOS,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
AKT1,GSK3B,AKT1,GSK3B,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:12489109; PMID:14632202;PMID:12489109;PMID:14632202;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
BAK1,CYCS,BAK1,CYCS,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:16901898;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
BAX,CYCS,BAX,CYCS,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:15304079;PMID:15304079;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
BAX,BBC3,BBC3,BAX,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
BAX,BCL2,BCL2,BAX,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CASP3,CDKN1A,CASP3,CDKN1A,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:9660939;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CASP3,MAP3K1,CASP3,MAP3K1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CASP3,PRKCD,,,+,False,True,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:9660939;PMID:15304079;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
BID,CASP8,CASP8,BID,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:20019748;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CASP3,CASP8,CASP8,CASP3,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:11803373;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CASP3,CASP9,CASP9,CASP3,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:11919192;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CDC42,MAP3K1,CDC42,MAP3K1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
BCL2,CREB1,CREB1,BCL2,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CSF2,CSF2RA,CSF2,CSF2RA,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CTNNB1,MITF,CTNNB1,MITF,+,False,False,DArcy_STRING|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,relayed via CTNNB1:LEF1_melan (backbone-derived; see topology layer);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
DUSP1,MAPK1,DUSP1,MAPK1,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
DUSP1,MAPK3,DUSP1,MAPK3,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
DUSP1,MAPK8,DUSP1,MAPK8,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:17363493;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
EGFR,HRAS,EGFR,HRAS,+,False,False,DArcy_STRING|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,relayed via SOS1:GRB2:SHC1_kerat (backbone-derived; see topology layer);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
EGFR,STAT1,EGFR,STAT1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CASP8,FAS,FAS,CASP8,+,False,False,DArcy_STRING|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,relayed via FAS:FADD_kerat (backbone-derived; see topology layer);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
CTNNB1,GSK3B,GSK3B,CTNNB1,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
GSK3B,NFATC1,GSK3B,NFATC1,-,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:18708588;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
HGF,MET,HGF,MET,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
IL1A,IL1R1,IL1A,IL1R1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:11348449;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
IL6,IL6R,IL6,IL6R,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:15191552;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
IL6R,JAK1,IL6R,JAK1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:15191552;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
CHUK,IRAK1,IRAK1,CHUK,0,False,False,DArcy_STRING|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
JAK1,STAT3,JAK1,STAT3,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,PMID:15191552;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
HRAS,KIT,KIT,HRAS,+,False,False,DArcy_STRING|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T0_Raghunath,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
MAP2K1,MAPK3,MAP2K1,MAPK3,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:11359940;PMID:11359940;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
MAP2K2,MAPK1,MAP2K2,MAPK1,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:11359940;PMID:11359940;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
MAP2K2,MAPK3,MAP2K2,MAPK3,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,NetProTM (Molecular Connections curated interaction DB); PMID:11359940;PMID:11359940;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
MAP2K3,MAPK14,MAP2K3,MAPK14,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,"Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced;OmniPath:SIGNOR (MAP2K3 activates MAPK14; confirmed across 20+ sources);Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced ;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)"
MAP2K4,MAPK8,MAP2K4,MAPK8,+,False,False,OmniPath_validation|Raghunath|STRING_ours,3,Raghunath:mechanistic_signed_directed;OmniPath_validation:literature_curated_validation;STRING_ours:association_unsigned_undirected,T0_Raghunath,"NetProTM (Molecular Connections curated interaction DB); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced;Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced ;NetProTM (Molecular Connections curated interaction DB);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)"
